molecule_id,rmsd_mean,rmsd_std,rg_mean,sasa_mean,score,timestamp
test_aspirin,0.19370850920677185,0.064691461622715,0.3538524650548597,4.493055820465088,77.37628221511841,2026-02-19 21:54:00.383220
test_aspirin_add_methyl,0.1001662090420723,0.1001662090420723,0.38031409739758326,4.90811014175415,74.95844773948193,2026-02-19 22:35:08.144936
test_aspirin_add_methyl,0.1001662090420723,0.1001662090420723,0.38031409739758326,4.90811014175415,74.95844773948193,2026-02-19 22:35:42.420145
aspirin_parent,0.13644132018089294,0.04890479892492294,0.3445545134754486,4.4097747802734375,83.39697420597076,2026-02-19 22:37:49.396749
aspirin_variant_add_methyl,0.15850858390331268,0.05526160076260567,0.3796553996284124,4.864790916442871,81.02225065231323,2026-02-19 22:37:52.287330
tetrachloroethane_test,0.049008265137672424,0.049008265137672424,0.3068614522462626,3.252580165863037,87.7479337155819,2026-02-19 23:42:06.901442
test_adv_editor_adv_advanced__hydroxyl_a,0.061234500259160995,0.061234500259160995,0.24331006919865256,2.9865591526031494,84.69137493520975,2026-02-19 23:47:13.056383
1_1_dichloroethylene,0.07535474002361298,0.020514698699116707,0.14870965661482743,2.0876898765563965,92.12932325899601,2026-02-19 23:47:16.071645
1_1_dichloroethylene_add_fluorine,0.07660050690174103,0.018864186480641365,0.1700267816479535,2.2908780574798584,92.39713735878468,2026-02-19 23:48:50.321287
1_1_dichloroethylene_adv_add_acetyl_at_2,0.11077840626239777,0.02316608466207981,0.23307229750980493,2.9213297367095947,89.82786275446415,2026-02-19 23:50:24.690234
1_1_dichloroethylene_adv_add_acetyl_at_2,0.11077840626239777,0.02316608466207981,0.23307229750980493,2.9213297367095947,89.82786275446415,2026-02-19 23:58:18.106247
1_1_2_2_tetrachloroethane_adv_add_acetyl_at_1,0.1315610557794571,0.033172816038131714,0.33364638286889814,4.128429889678955,86.7873840034008,2026-02-20 00:11:33.535979
1_1_2_2_tetrachloroethane_adv_add_acetyl_at_1,0.1315610557794571,0.033172816038131714,0.33364638286889814,4.128429889678955,86.7873840034008,2026-02-20 00:15:25.157076
1_1_2_2_tetrachloroethane_adv_add_acetyl_at_1,0.1315610557794571,0.033172816038131714,0.33364638286889814,4.128429889678955,86.7873840034008,2026-02-20 00:21:50.733931
1_1_2_2_tetrachloroethane,0.1008511334657669,0.021801045164465904,0.3141359096972861,3.267692804336548,90.59723429381847,2026-02-20 00:23:26.596002
1_1_2_2_tetrachloroethane_adv_add_acetyl_at_1,0.1315610557794571,0.033172816038131714,0.33364638286889814,4.128429889678955,86.7873840034008,2026-02-20 09:29:09.497318
1_2_3_trichlorobenzene,0.14284510910511017,0.02932283841073513,0.25077023099577267,3.6011199951171875,86.99317686259747,2026-02-20 09:31:30.233200
1_2_3_trichlorobenzene,0.14284510910511017,0.02932283841073513,0.25077023099577267,3.6011199951171875,86.99317686259747,2026-02-20 09:36:00.737600
1_1_2_2_tetrachloroethane,0.1008511334657669,0.021801045164465904,0.3141359096972861,3.267692804336548,90.59723429381847,2026-02-20 12:37:35.415661
custom_1771573865,0.22393204271793365,0.047846972942352295,0.3758404339130045,4.679391384124756,79.23400327563286,2026-02-20 13:22:09.751079
1_1_2_2_tetrachloroethane,0.08602755516767502,0.019097015261650085,0.3078072078416497,3.230539560317993,91.87921918928623,2026-02-20 17:29:47.653036
1_1_2_2_tetrachloroethane,0.10241099447011948,0.023747926577925682,0.3100889658369003,3.2075695991516113,90.12986496090889,2026-02-20 19:02:42.682129
