Feature,Importance
LogP,0.7595966188842528
MW,0.07891106999614186
HeavyAtomCount,0.02920517291844588
TPSA,0.02063015078239566
HBA,0.006260679086271509
FractionCSP3,0.006206467030260007
RingCount,0.005121900801577972
HBD,0.003181273280822191
fp_1602,0.0031578877130685294
RotBonds,0.002839662748921839
fp_807,0.0025606866768587066
fp_192,0.00207133118326664
fp_486,0.001596442966011736
fp_1380,0.0013882328821613363
fp_1866,0.001369591903762122
fp_378,0.0013452414325709377
AroRings,0.0012766274437479158
fp_695,0.0012519927624009203
fp_1114,0.001087744731122366
fp_650,0.001077740739590139
